Start Time:  9/3/25 3:21:26 PM            Time Completed:  9/3/25 4:08:25 PM        Elapsed Time:  00:29:30
Sample ID:     LL01_20kG_MF

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL01_20kG_MF.txt
Plot File:     C:\IDEASVSM\Elin\LL01_20kG_MF.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL01_20kG_MF.dat

***DATA***

Field(G)	 Moment(emu)	
 10603.6 	 0.00476973 	
 10409 	 0.00474475 	
 10215.6 	 0.00471804 	
 10020.4 	 0.00469415 	
 9825.36 	 0.00466246 	
 9632.2 	 0.00462834 	
 9436.69 	 0.0046062 	
 9242.89 	 0.00456658 	
 9047.51 	 0.00454725 	
 8852.87 	 0.00451314 	
 8659.57 	 0.00448765 	
 8463.46 	 0.00446234 	
 8269.38 	 0.00442053 	
 8075.49 	 0.00438544 	
 7880.12 	 0.00437232 	
 7684.74 	 0.00433452 	
 7491.16 	 0.00430408 	
 7295.13 	 0.00427571 	
 7100.15 	 0.00424241 	
 6905.86 	 0.00421237 	
 6710.11 	 0.00418043 	
 6516.34 	 0.0041383 	
 6319.94 	 0.00411207 	
 6125.23 	 0.0040823 	
 5931.46 	 0.0040472 	
 5734.96 	 0.00401373 	
 5540 	 0.00397209 	
 5346.24 	 0.00393268 	
 5149.82 	 0.00390709 	
 4955.33 	 0.00386672 	
 4760.8 	 0.00382819 	
 4565.1 	 0.00378741 	
 4371.62 	 0.00376162 	
 4175.16 	 0.00370983 	
 3980.51 	 0.00367943 	
 3786.2 	 0.0036349 	
 3589.69 	 0.00360038 	
 3394.78 	 0.00355102 	
 3200.36 	 0.00349893 	
 3004.2 	 0.00345423 	
 2809.56 	 0.00343581 	
 2614.55 	 0.00335921 	
 2419.25 	 0.00334375 	
 2225 	 0.00331587 	
 2029.02 	 0.00323172 	
 1834.03 	 0.00321171 	
 1639.96 	 0.0031537 	
 1443.76 	 0.00310802 	
 1248.29 	 0.00303764 	
 1054.19 	 0.00301757 	
 857.73 	 0.00295899 	
 662.827 	 0.00289939 	
 468.923 	 0.00286476 	
 272.679 	 0.00278312 	
 78.9463 	 0.00272786 	
-117.338 	 0.00265457 	
-312.524 	 0.00257556 	
-506.284 	 0.00252224 	
-702.795 	 0.0024445 	
-898.595 	 0.00236975 	
-1092.18 	 0.00231708 	
-1288.11 	 0.00222589 	
-1481.43 	 0.00213569 	
-1677.68 	 0.00204253 	
-1872.55 	 0.00194212 	
-2066.77 	 0.00182128 	
-2263.17 	 0.00167433 	
-2458.9 	 0.00149786 	
-2652.77 	 0.00134211 	
-2848.87 	 0.0011507 	
-3043.77 	 0.000950557 	
-3237.76 	 0.000770411 	
-3433.46 	 0.000564553 	
-3627.46 	 0.000395218 	
-3822.86 	 0.000211935 	
-4018.11 	 0.0000478442 	
-4212.08 	-0.000103921 	
-4408.11 	-0.000261098 	
-4603.39 	-0.000412325 	
-4797.14 	-0.000546008 	
-4993.15 	-0.000681406 	
-5188.12 	-0.00080543 	
-5382.04 	-0.00094435 	
-5577.99 	-0.00107207 	
-5772.01 	-0.00119346 	
-5967.1 	-0.0013396 	
-6162.29 	-0.00147265 	
-6355.72 	-0.00160932 	
-6551.45 	-0.00176737 	
-6745.7 	-0.00192744 	
-6939.33 	-0.00212918 	
-7134.91 	-0.00234989 	
-7329.25 	-0.00259883 	
-7522.73 	-0.00285393 	
-7718.69 	-0.00312936 	
-7912.4 	-0.00339505 	
-8106.65 	-0.00364676 	
-8301.83 	-0.00387864 	
-8495.04 	-0.00405841 	
-8690.78 	-0.00421326 	
-8884.65 	-0.0043458 	
-9077.97 	-0.00444362 	
-9273.55 	-0.00454539 	
-9467.92 	-0.00462522 	
-9660.84 	-0.00469202 	
-9856.49 	-0.00475372 	
-10050.5 	-0.00480881 	
-10244.2 	-0.00486709 	
-10438.7 	-0.00491082 	
-10631.8 	-0.00495348 	
-10827.1 	-0.00498942 	
-11020.9 	-0.00502375 	
-11213.8 	-0.00506497 	
-11409.2 	-0.00509766 	
-11602.8 	-0.00513032 	
-11795.9 	-0.00515365 	
-11991 	-0.00518689 	
-12184.7 	-0.00522114 	
-12377.7 	-0.00524597 	
-12572.4 	-0.00526117 	
-12765.3 	-0.00529419 	
-12959.7 	-0.00531293 	
-13153.7 	-0.00532949 	
-13345.9 	-0.00535023 	
-13540.8 	-0.00538283 	
-13734.5 	-0.00540904 	
-13926.9 	-0.00543394 	
-14121.5 	-0.00545009 	
-14314 	-0.00547075 	
-14508.7 	-0.00549518 	
-14702.2 	-0.00551423 	
-14894.3 	-0.0055317 	
-15089 	-0.00555262 	
-15281.9 	-0.00558051 	
-15474 	-0.00559079 	
-15667.9 	-0.00561081 	
-15860.9 	-0.00564061 	
-16052.4 	-0.0056554 	
-16246.5 	-0.00566995 	
-16438.2 	-0.00569169 	
-16631.5 	-0.00570669 	
-16823.8 	-0.00572408 	
-17014.9 	-0.00573447 	
-17208 	-0.00575702 	
-17399.9 	-0.00577313 	
-17590.6 	-0.00578767 	
-17782.4 	-0.00580312 	
-17973.5 	-0.00582056 	
-18163 	-0.00583293 	
-18354.3 	-0.00584852 	
-18543.1 	-0.0058581 	
-18731.2 	-0.00586869 	
-18918.8 	-0.00588469 	
-19013.5 	-0.00589424 	
-18876.7 	-0.00588387 	
-18685.6 	-0.00587197 	
-18484.2 	-0.00586103 	
-18279.3 	-0.00585014 	
-18076.9 	-0.00583664 	
-17877.3 	-0.00582054 	
-17676.1 	-0.00580552 	
-17477.4 	-0.00579214 	
-17278.3 	-0.00577596 	
-17079.6 	-0.0057537 	
-16882.4 	-0.00574498 	
-16683.7 	-0.0057286 	
-16485.8 	-0.00570934 	
-16290 	-0.00569007 	
-16091.2 	-0.00567109 	
-15894.6 	-0.00565467 	
-15699.3 	-0.00563713 	
-15501.7 	-0.00561436 	
-15306 	-0.00559758 	
-15110.3 	-0.00557428 	
-14913.8 	-0.00555645 	
-14719.7 	-0.00553319 	
-14522.5 	-0.00551439 	
-14327.5 	-0.00550567 	
-14133.2 	-0.00547707 	
-13937 	-0.0054482 	
-13742.3 	-0.00542069 	
-13548.9 	-0.00540618 	
-13353.1 	-0.00537727 	
-13158.9 	-0.00536149 	
-12964.9 	-0.00532266 	
-12769.7 	-0.00531379 	
-12576.2 	-0.00529658 	
-12381.2 	-0.00511437 	
-12186.8 	-0.0052387 	
-11993.4 	-0.00520693 	
-11798.1 	-0.00519171 	
-11603.8 	-0.00522686 	
-11410.7 	-0.0051456 	
-11215.3 	-0.00511603 	
-11020.9 	-0.00508811 	
-10827.7 	-0.0050682 	
-10632.3 	-0.00503006 	
-10439.4 	-0.00501437 	
-10243.9 	-0.00499348 	
-10049.4 	-0.00494731 	
-9856.48 	-0.00492203 	
-9660.61 	-0.00489352 	
-9466.36 	-0.00486968 	
-9272.82 	-0.00484644 	
-9077.44 	-0.00480638 	
-8884.11 	-0.0047836 	
-8688.66 	-0.00475768 	
-8493.82 	-0.00473186 	
-8301.05 	-0.00469921 	
-8105.37 	-0.0046677 	
-7910.59 	-0.00463375 	
-7717.1 	-0.00462266 	
-7521.58 	-0.00456752 	
-7326.7 	-0.00453709 	
-7133.16 	-0.0045168 	
-6937.62 	-0.00447993 	
-6743.67 	-0.00444029 	
-6548.26 	-0.00441547 	
-6353.65 	-0.00438433 	
-6160.07 	-0.00434576 	
-5964.1 	-0.0043215 	
-5769.4 	-0.00429101 	
-5575.37 	-0.00424394 	
-5379.6 	-0.00420512 	
-5184.61 	-0.00418567 	
-4991.24 	-0.00415661 	
-4794.73 	-0.00411449 	
-4600.23 	-0.00406444 	
-4405.28 	-0.00404589 	
-4209.67 	-0.00399677 	
-4015.51 	-0.00397572 	
-3819.82 	-0.00392063 	
-3624.66 	-0.00386326 	
-3430.94 	-0.00383013 	
-3234.97 	-0.00377779 	
-3040.19 	-0.00374291 	
-2846.48 	-0.00372646 	
-2650.06 	-0.00364957 	
-2456.03 	-0.00359932 	
-2259.87 	-0.00356919 	
-2063.98 	-0.00351207 	
-1870.02 	-0.0034802 	
-1674.07 	-0.00341562 	
-1478.93 	-0.00336377 	
-1285.67 	-0.00330859 	
-1089.68 	-0.00329071 	
-894.828 	-0.00322512 	
-700.303 	-0.00317271 	
-503.879 	-0.00311593 	
-309.779 	-0.00306276 	
-114.578 	-0.00299929 	
 81.1434 	-0.00294165 	
 275.049 	-0.00286969 	
 471.363 	-0.00279303 	
 666.049 	-0.00270253 	
 860.411 	-0.00266149 	
 1056.36 	-0.00259897 	
 1251.91 	-0.00250164 	
 1446.21 	-0.00241659 	
 1642.52 	-0.00231965 	
 1837.17 	-0.00222611 	
 2031.95 	-0.00209878 	
 2227.66 	-0.00197416 	
 2421.73 	-0.0018223 	
 2617.52 	-0.0016507 	
 2812.81 	-0.00146857 	
 3006.36 	-0.00126821 	
 3203.06 	-0.00107697 	
 3398.22 	-0.000883371 	
 3592.34 	-0.000711313 	
 3788.68 	-0.000521862 	
 3983.04 	-0.000347687 	
 4178.49 	-0.000192372 	
 4373.99 	-0.0000334357 	
 4567.37 	 0.000116271 	
 4763.6 	 0.000248877 	
 4958.09 	 0.000385943 	
 5152.09 	 0.000508377 	
 5348.47 	 0.00063701 	
 5543.24 	 0.000774954 	
 5737.3 	 0.000893708 	
 5933.55 	 0.00103481 	
 6127.68 	 0.0011605 	
 6322.91 	 0.00131602 	
 6518.58 	 0.00145729 	
 6711.98 	 0.0016267 	
 6907.93 	 0.00181593 	
 7102.7 	 0.00202036 	
 7296.55 	 0.00225852 	
 7492.42 	 0.00252586 	
 7687.4 	 0.00279015 	
 7881.08 	 0.00306624 	
 8077.11 	 0.00330994 	
 8271.08 	 0.00354159 	
 8465.05 	 0.00375281 	
 8660.25 	 0.00390939 	
 8853.63 	 0.00403833 	
 9049.27 	 0.00415209 	
 9243.67 	 0.00424319 	
 9436.82 	 0.00432871 	
 9632.53 	 0.00440535 	
 9826.88 	 0.0044574 	
 10020.3 	 0.00451324 	
 10215.8 	 0.00457241 	
 10408.7 	 0.00462473 	
 10604.1 	 0.00466304 	
 10798.5 	 0.00469865 	
 10991.7 	 0.00474292 	
 11186.9 	 0.0047811 	
 11381.1 	 0.00480546 	
 11574.6 	 0.0048463 	
 11769.5 	 0.0048691 	
 11963.7 	 0.0049008 	
 12157 	 0.00492476 	
 12351.3 	 0.00494884 	
 12544.6 	 0.00497295 	
 12738.6 	 0.00500982 	
 12933 	 0.00503041 	
 13125.4 	 0.00505139 	
 13320.3 	 0.00507745 	
 13513.7 	 0.00510269 	
 13706.2 	 0.00511698 	
 13900.9 	 0.00513917 	
 14094.4 	 0.00516643 	
 14286.8 	 0.005188 	
 14481.2 	 0.00520604 	
 14673.9 	 0.00523101 	
 14866.9 	 0.0052443 	
 15061 	 0.00526591 	
 15252.6 	 0.00529189 	
 15446.8 	 0.0053073 	
 15639.3 	 0.00532946 	
 15830.8 	 0.00534691 	
 16024.7 	 0.00536789 	
 16217.4 	 0.0053884 	
 16409.3 	 0.00540151 	
 16602.8 	 0.00542072 	
 16795.4 	 0.00543255 	
 16986.6 	 0.00545466 	
 17179.9 	 0.00547175 	
 17370.5 	 0.00548884 	
 17563.4 	 0.0055034 	
 17754.8 	 0.00552039 	
 17944.7 	 0.00552971 	
 18136.6 	 0.00554335 	
 18327.3 	 0.005558 	
 18515.8 	 0.00556967 	
 18705.6 	 0.00558377 	
 18892.9 	 0.00559466 	
 19077.8 	 0.00560236 	
 19261.9 	 0.00561306 	
 19441.2 	 0.00562595 	
 19619.3 	 0.00562733 	

	
	
