Start Time:  9/3/25 3:21:26 PM            Time Completed:  9/3/25 4:08:25 PM        Elapsed Time:  00:29:30
Sample ID:     LL01_20kG_MF

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL01_20kG_MF.txt
Plot File:     C:\IDEASVSM\Elin\LL01_20kG_MF.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL01_20kG_MF.dat

***DATA***

Field(G)	 Moment(emu)	
 19811.5 	 0.00565747 	
 19684.3 	 0.00565149 	
 19502.9 	 0.0056439 	
 19292.8 	 0.00563993 	
 19076.6 	 0.00562708 	
 18864.5 	 0.00561992 	
 18654.1 	 0.00560722 	
 18448.5 	 0.00559374 	
 18246.8 	 0.00558388 	
 18043.7 	 0.0055635 	
 17843.8 	 0.0055507 	
 17645.1 	 0.00553412 	
 17445.2 	 0.00551746 	
 17247.9 	 0.00550789 	
 17048.4 	 0.00548437 	
 16850.4 	 0.00547465 	
 16654 	 0.00545147 	
 16455.4 	 0.00543338 	
 16258 	 0.00542278 	
 16061.9 	 0.00540536 	
 15864.2 	 0.00538493 	
 15668.6 	 0.00536412 	
 15472.9 	 0.00534959 	
 15276.4 	 0.00532684 	
 15081.8 	 0.00530399 	
 14885.1 	 0.00528753 	
 14689.7 	 0.00527344 	
 14495.9 	 0.00524428 	
 14299.2 	 0.00522105 	
 14104.5 	 0.00519419 	
 13910.6 	 0.00517475 	
 13714.9 	 0.00515967 	
 13520.5 	 0.00513814 	
 13326.4 	 0.00510336 	
 13131.1 	 0.00509587 	
 12938 	 0.0050716 	
 12742.3 	 0.00504327 	
 12548.1 	 0.00501265 	
 12355 	 0.00500569 	
 12159.5 	 0.00496863 	
 11965 	 0.0049412 	
 11771.7 	 0.00493303 	
 11576.2 	 0.00490326 	
 11381.6 	 0.00487886 	
 11188.2 	 0.0048474 	
 10992.5 	 0.00482412 	
 10799.3 	 0.00479055 	
