Start Time:  9/3/25 5:45:48 PM            Time Completed:  9/3/25 6:15:53 PM        Elapsed Time:  00:30:04
Sample ID:     LL02_20kG_MF_v2

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.txt
Plot File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL02_20kG_MF_v2.dat

***DATA***

Field(G)	 Moment(emu)	
-15866 	-0.0144348 	
-16057.4 	-0.0144941 	
-16251.4 	-0.0145554 	
-16443.3 	-0.0146174 	
-16636.5 	-0.0146863 	
-16829 	-0.0147413 	
-17019.9 	-0.0148014 	
-17213.2 	-0.0148597 	
-17404.9 	-0.0149211 	
-17595.3 	-0.0149775 	
-17787.4 	-0.0150373 	
-17978.3 	-0.0150935 	
-18167.9 	-0.0151514 	
-18359.1 	-0.0152005 	
-18548.3 	-0.0152481 	
-18735.4 	-0.0152986 	
-18923.2 	-0.0153491 	
-19029.6 	-0.0153742 	
-18900.6 	-0.0153527 	
-18711 	-0.0153037 	
-18509.8 	-0.0152537 	
-18304.8 	-0.0152064 	
-18101.9 	-0.015148 	
-17902.2 	-0.0150906 	
-17701 	-0.0150342 	
-17501.9 	-0.0149738 	
-17303.3 	-0.0149173 	
-17104.3 	-0.0148594 	
-16906.9 	-0.0147892 	
-16708.1 	-0.0147303 	
-16510.7 	-0.014664 	
-16314.2 	-0.0146025 	
-16115.8 	-0.0145393 	
-15919 	-0.0144749 	
-15723.8 	-0.0144167 	
-15525.9 	-0.0143484 	
-15330.5 	-0.0142824 	
-15134.8 	-0.0142124 	
-14938.3 	-0.0141465 	
-14743.6 	-0.0140724 	
-14546.9 	-0.0140099 	
-14351.7 	-0.0139428 	
-14157.1 	-0.0138656 	
-13961.4 	-0.0138011 	
-13766.3 	-0.0137323 	
-13573 	-0.0136597 	
-13377.3 	-0.0135767 	
-13182.8 	-0.0135072 	
-12988.9 	-0.0134357 	
-12794.2 	-0.0133631 	
-12600.2 	-0.0132766 	
-12405.2 	-0.0132288 	
-12210.8 	-0.0131324 	
-12017.7 	-0.0130661 	
-11822.4 	-0.0129799 	
-11627.8 	-0.0129011 	
-11434.9 	-0.0128339 	
-11239.4 	-0.0127412 	
-11045 	-0.0126738 	
-10851.6 	-0.0125842 	
-10656.5 	-0.0125121 	
-10463.5 	-0.0124273 	
-10268 	-0.0123387 	
-10073.6 	-0.0122645 	
-9880.43 	-0.0121951 	
-9684.77 	-0.0120968 	
-9490.34 	-0.0120206 	
-9297.04 	-0.0119357 	
-9101.53 	-0.0118511 	
